[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:34] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
